Gene.symbol,ID,adj.P.Val,P.Value,t,B,logFC,Gene.title
NRBP1,A_23_P165442,1.26E-02,2.20E-03,3.159081,-1.744735,1.2490101,nuclear receptor binding protein 1
MBD5,A_23_P142537,1.26E-02,2.20E-03,3.15897,-1.745041,1.7099907,methyl-CpG binding domain protein 5
,A_24_P196175,1.26E-02,2.20E-03,3.15884,-1.745402,1.5249128,
TBC1D7,A_23_P111273,1.26E-02,2.20E-03,3.158816,-1.745467,1.1740101,TBC1 domain family member 7
UHMK1,A_32_P84389,1.26E-02,2.20E-03,3.158652,-1.745922,1.008517,U2AF homology motif (UHM) kinase 1
LOC100128775,A_24_P290719,1.26E-02,2.20E-03,3.158299,-1.746898,1.1162319,"neural precursor cell expressed, developmentally down-regulated 8 pseudogene"
PRDX3,A_23_P63751,1.26E-02,2.20E-03,3.158144,-1.747327,1.581956,peroxiredoxin 3
ZNF529-AS1,A_24_P839298,1.26E-02,2.20E-03,3.158044,-1.747604,1.4323469,ZNF529 antisense RNA 1
SYCE3,A_24_P659836,1.27E-02,2.21E-03,3.157831,-1.748193,1.8406496,synaptonemal complex central element protein 3
DDX46,A_23_P30377,1.27E-02,2.21E-03,3.157756,-1.748399,1.2463553,DEAD-box helicase 46
ANKRD39,A_23_P95027,1.27E-02,2.21E-03,3.157397,-1.749393,1.1026181,ankyrin repeat domain 39
RNPEPL1,A_23_P17030,1.27E-02,2.21E-03,3.157279,-1.749721,0.9675085,arginyl aminopeptidase like 1
,A_24_P16694,1.27E-02,2.21E-03,3.157085,-1.750255,1.4982394,
CAPN10,A_23_P312217,1.27E-02,2.21E-03,3.156942,-1.750651,0.8767617,calpain 10
GNAS,A_24_P273666,1.27E-02,2.21E-03,3.156873,-1.750843,1.303131,GNAS complex locus
ZNF16,A_23_P168864,1.27E-02,2.21E-03,3.156851,-1.750902,1.2029858,zinc finger protein 16
STRBP,A_24_P398016,1.27E-02,2.22E-03,3.156468,-1.751962,1.5011555,spermatid perinuclear RNA binding protein
PLA2G15,A_23_P3584,1.27E-02,2.22E-03,3.156274,-1.752499,0.7585406,phospholipase A2 group XV
GPR156,A_23_P92275,1.27E-02,2.22E-03,-3.156252,-1.75256,-0.9361363,G protein-coupled receptor 156
CPVL,A_23_P134347,1.27E-02,2.22E-03,3.155948,-1.7534,2.8863986,"carboxypeptidase, vitellogenic like"
DCUN1D3,A_32_P104000,1.27E-02,2.22E-03,3.155944,-1.75341,1.0398644,defective in cullin neddylation 1 domain containing 3
,A_24_P554408,1.27E-02,2.22E-03,3.15594,-1.753421,1.3301251,
FMNL2,A_32_P193080,1.27E-02,2.22E-03,3.155511,-1.754609,1.0981366,formin like 2
CMTR1,A_23_P374149,1.27E-02,2.22E-03,3.155347,-1.755063,0.9869207,cap methyltransferase 1
,A_24_P927206,1.27E-02,2.22E-03,-3.155183,-1.755515,-1.3141921,
CMIP,A_23_P100263,1.27E-02,2.22E-03,-3.155121,-1.755686,-1.7426104,c-Maf inducing protein
,A_32_P212411,1.27E-02,2.22E-03,3.155111,-1.755713,1.1786708,
DIO3OS,A_24_P759584,1.27E-02,2.23E-03,3.15497,-1.756104,2.2888419,DIO3 opposite strand/antisense RNA (head to head)
TPH1,A_23_P150595,1.27E-02,2.23E-03,-3.154763,-1.756676,-1.09626,tryptophan hydroxylase 1
RABGEF1,A_23_P250825,1.27E-02,2.23E-03,3.154626,-1.757054,1.1523876,RAB guanine nucleotide exchange factor 1
C1GALT1,A_23_P252145,1.27E-02,2.23E-03,3.154535,-1.757307,1.2033361,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1"
ZSCAN25,A_32_P196115,1.27E-02,2.23E-03,3.154448,-1.757547,1.1524653,zinc finger and SCAN domain containing 25
ASB9,A_23_P125643,1.27E-02,2.23E-03,3.154419,-1.757628,2.4268136,ankyrin repeat and SOCS box containing 9
KCNH6,A_23_P170541,1.27E-02,2.23E-03,-3.154293,-1.757974,-1.5290652,potassium voltage-gated channel subfamily H member 6
HNRNPCL1,A_24_P136161,1.27E-02,2.23E-03,3.154104,-1.758496,1.3353634,heterogeneous nuclear ribonucleoprotein C-like 1
PHYKPL,A_24_P136484,1.28E-02,2.23E-03,-3.153983,-1.758833,-1.073562,5-phosphohydroxy-L-lysine phospho-lyase
ZNF337,A_23_P154758,1.28E-02,2.23E-03,3.153759,-1.759451,1.2729887,zinc finger protein 337
,A_24_P332721,1.28E-02,2.24E-03,3.153463,-1.760269,1.6388389,
FLAD1,A_23_P34527,1.28E-02,2.24E-03,3.152952,-1.761682,1.1093188,flavin adenine dinucleotide synthetase 1
MRPL1,A_23_P84821,1.28E-02,2.24E-03,3.152942,-1.761709,1.3391095,mitochondrial ribosomal protein L1
SLC39A13,A_23_P24345,1.28E-02,2.24E-03,3.152898,-1.761831,0.9370702,solute carrier family 39 member 13
RPL27A,A_23_P203577,1.28E-02,2.24E-03,3.152351,-1.76334,0.780824,ribosomal protein L27a
RABL2A,A_24_P911094,1.28E-02,2.24E-03,3.152347,-1.763352,1.1402476,"RAB, member of RAS oncogene family-like 2A"
PURB,A_24_P286465,1.28E-02,2.24E-03,3.152269,-1.763567,0.8816541,purine rich element binding protein B
,A_32_P139311,1.28E-02,2.25E-03,-3.151613,-1.765379,-1.2464039,
VPS29,A_23_P128384,1.28E-02,2.25E-03,3.151543,-1.765574,1.2047453,"VPS29, retromer complex component"
GNB3,A_23_P76350,1.28E-02,2.25E-03,3.151542,-1.765577,1.4590835,G protein subunit beta 3
SZRD1,A_24_P396489,1.28E-02,2.25E-03,3.151369,-1.766054,1.489535,SUZ RNA binding domain containing 1
MCM2,A_32_P103633,1.28E-02,2.25E-03,3.151351,-1.766104,1.4572986,minichromosome maintenance complex component 2
TUBA1C,A_23_P128161,1.28E-02,2.25E-03,3.151328,-1.766168,1.7059794,tubulin alpha 1c
,A_24_P227350,1.28E-02,2.25E-03,3.151085,-1.766838,1.7888416,
SRGAP2D///SRGAP2C///SRGAP2B///SRGAP2,A_32_P125416,1.28E-02,2.25E-03,3.150944,-1.767227,1.3956432,SLIT-ROBO Rho GTPase activating protein 2D (pseudogene)///SLIT-ROBO Rho GTPase activating protein 2C///SLIT-ROBO Rho GTPase activating protein 2B///SLIT-ROBO Rho GTPase activating protein 2
GPR180,A_23_P88021,1.28E-02,2.25E-03,3.150744,-1.76778,1.1999759,G protein-coupled receptor 180
SLC27A5,A_23_P4611,1.29E-02,2.26E-03,3.150649,-1.76804,2.4679329,solute carrier family 27 member 5
RAB18,A_24_P132787,1.29E-02,2.26E-03,3.150344,-1.768884,1.0323024,"RAB18, member RAS oncogene family"
ADSS,A_23_P201432,1.29E-02,2.26E-03,3.150309,-1.76898,1.1253056,adenylosuccinate synthase
TSSC1,A_23_P256773,1.29E-02,2.26E-03,3.150241,-1.769169,1.3198639,tumor suppressing subtransferable candidate 1
RITA1,A_23_P87635,1.29E-02,2.26E-03,3.150189,-1.769312,1.171404,RBPJ interacting and tubulin associated 1
TCEANC,A_23_P320159,1.29E-02,2.26E-03,3.150072,-1.769636,1.152346,transcription elongation factor A N-terminal and central domain containing
RNF11,A_23_P137434,1.29E-02,2.26E-03,3.149951,-1.769969,1.2475989,ring finger protein 11
YIPF2,A_24_P211229,1.29E-02,2.26E-03,3.149946,-1.769982,1.0123092,Yip1 domain family member 2
DDX19B,A_23_P140994,1.29E-02,2.26E-03,3.149801,-1.770382,1.2779194,DEAD-box helicase 19B
MTMR2,A_23_P64019,1.29E-02,2.26E-03,3.14949,-1.771241,1.1740257,myotubularin related protein 2
,A_32_P160398,1.29E-02,2.27E-03,-3.149026,-1.772521,-0.9557974,
SLC35D3,A_24_P392970,1.29E-02,2.27E-03,3.148956,-1.772715,1.990155,solute carrier family 35 member D3
GBP2,A_23_P85693,1.29E-02,2.27E-03,3.148886,-1.772908,1.593793,guanylate binding protein 2
DTD2,A_23_P37144,1.29E-02,2.27E-03,3.148858,-1.772986,1.0697896,D-tyrosyl-tRNA deacylase 2 (putative)
PPM1B,A_23_P398073,1.29E-02,2.27E-03,3.148779,-1.773205,1.1700814,"protein phosphatase, Mg2+/Mn2+ dependent 1B"
MED22,A_23_P501795,1.29E-02,2.27E-03,3.148654,-1.773549,1.1014522,mediator complex subunit 22
ELAVL1,A_23_P208477,1.29E-02,2.27E-03,3.148385,-1.774292,1.0854519,ELAV like RNA binding protein 1
RNF5,A_23_P320200,1.29E-02,2.27E-03,3.148339,-1.77442,1.2621657,ring finger protein 5
RHBDL3,A_23_P308731,1.29E-02,2.27E-03,-3.148086,-1.775116,-1.5610521,rhomboid like 3
ITCH,A_24_P139191,1.29E-02,2.27E-03,3.148062,-1.775184,1.0958073,itchy E3 ubiquitin protein ligase
JARID2,A_23_P214876,1.29E-02,2.27E-03,3.14796,-1.775464,1.0813856,jumonji and AT-rich interaction domain containing 2
ZNF408,A_23_P32722,1.29E-02,2.28E-03,3.147786,-1.775944,1.4222992,zinc finger protein 408
FIRRE,A_24_P728920,1.29E-02,2.28E-03,3.147413,-1.776975,2.6350868,firre intergenic repeating RNA element
PRSS33,A_23_P89003,1.29E-02,2.28E-03,3.147408,-1.776988,1.7974221,"protease, serine 33"
SLC15A4,A_24_P13311,1.30E-02,2.28E-03,3.147041,-1.778,1.2266689,solute carrier family 15 member 4
JADE2,A_24_P226278,1.30E-02,2.28E-03,3.146863,-1.77849,1.1642515,jade family PHD finger 2
GGCX,A_24_P933180,1.30E-02,2.28E-03,3.146764,-1.778764,1.3753675,gamma-glutamyl carboxylase
NASP,A_32_P28365,1.30E-02,2.28E-03,3.146479,-1.779551,1.3656273,nuclear autoantigenic sperm protein
ZNF646,A_24_P181506,1.30E-02,2.28E-03,3.14644,-1.779657,0.9859685,zinc finger protein 646
RAB31,A_23_P141688,1.30E-02,2.29E-03,3.146354,-1.779896,1.8282722,"RAB31, member RAS oncogene family"
SNX10,A_23_P8513,1.30E-02,2.29E-03,3.146311,-1.780015,1.8959138,sorting nexin 10
,A_24_P926935,1.30E-02,2.29E-03,3.146293,-1.780064,1.0386257,
HHIP,A_23_P167129,1.30E-02,2.29E-03,-3.146183,-1.780367,-1.9082089,hedgehog interacting protein
ATXN10,A_24_P391368,1.30E-02,2.29E-03,3.146175,-1.780388,1.5967084,ataxin 10
PDCD6IP,A_24_P945194,1.30E-02,2.29E-03,3.146036,-1.780773,1.0742458,programmed cell death 6 interacting protein
BTRC,A_23_P35427,1.30E-02,2.29E-03,3.145898,-1.781153,0.9653506,beta-transducin repeat containing E3 ubiquitin protein ligase
SPATA13,A_24_P13475,1.30E-02,2.29E-03,3.145566,-1.782069,1.3619496,spermatogenesis associated 13
SUGP1,A_23_P119617,1.30E-02,2.29E-03,3.145548,-1.782118,0.8583506,SURP and G-patch domain containing 1
,A_24_P272503,1.30E-02,2.29E-03,3.145423,-1.782463,1.383163,
NOMO1,A_23_P44581,1.30E-02,2.29E-03,3.145402,-1.782522,1.5438864,NODAL modulator 1
MAPKAP1,A_24_P43884,1.30E-02,2.29E-03,3.145299,-1.782805,1.2239802,mitogen-activated protein kinase associated protein 1
CYP20A1,A_24_P394047,1.30E-02,2.29E-03,3.145221,-1.78302,1.3863825,cytochrome P450 family 20 subfamily A member 1
MFF,A_23_P405148,1.30E-02,2.29E-03,3.145199,-1.783081,1.1828501,mitochondrial fission factor
NFXL1,A_23_P407090,1.30E-02,2.29E-03,3.145098,-1.783358,1.3519522,"nuclear transcription factor, X-box binding like 1"
SLC12A7,A_24_P60634,1.30E-02,2.29E-03,3.145092,-1.783375,1.296396,solute carrier family 12 member 7
LOC101928845,A_24_P239451,1.30E-02,2.29E-03,3.145,-1.78363,1.1773596,uncharacterized LOC101928845
EPHA4,A_23_P119899,1.30E-02,2.29E-03,-3.144972,-1.783706,-2.8508666,EPH receptor A4
HSP90AB6P,A_24_P531133,1.30E-02,2.30E-03,3.144819,-1.784128,1.9158589,"heat shock protein 90 alpha family class B member 6, pseudogene"
SFRP4,A_23_P215328,1.30E-02,2.30E-03,3.144328,-1.785481,3.0397583,secreted frizzled related protein 4
RARA-AS1,A_24_P551302,1.30E-02,2.30E-03,3.14403,-1.786305,1.0691166,RARA antisense RNA 1
KATNAL1,A_23_P151415,1.30E-02,2.30E-03,3.143664,-1.787312,1.183602,katanin catalytic subunit A1 like 1
SACS,A_23_P128663,1.30E-02,2.30E-03,3.143624,-1.787424,1.6708915,sacsin molecular chaperone
,A_24_P269624,1.30E-02,2.30E-03,3.143532,-1.787678,1.1933589,
SLC35B4,A_24_P367561,1.30E-02,2.31E-03,3.143388,-1.788074,1.1429031,solute carrier family 35 member B4
ATG12,A_24_P680857,1.30E-02,2.31E-03,3.143278,-1.788378,1.0637541,autophagy related 12
GPR89B,A_23_P1056,1.30E-02,2.31E-03,3.143143,-1.788749,1.1049985,G protein-coupled receptor 89B
TLR2,A_23_P92499,1.31E-02,2.31E-03,3.142884,-1.789463,1.6456141,toll like receptor 2
,A_24_P900721,1.31E-02,2.31E-03,3.142883,-1.789465,1.4265122,
GADD45GIP1,A_23_P39019,1.31E-02,2.31E-03,3.142689,-1.790001,1.0552843,GADD45G interacting protein 1
TBC1D29,A_24_P361427,1.31E-02,2.31E-03,3.142516,-1.790477,1.001154,TBC1 domain family member 29
,A_24_P76078,1.31E-02,2.31E-03,3.142442,-1.79068,1.2145455,
AHCTF1,A_23_P63584,1.31E-02,2.31E-03,3.142136,-1.791524,1.2031881,AT-hook containing transcription factor 1
PTGES3,A_24_P263623,1.31E-02,2.32E-03,3.142074,-1.791695,1.4112854,prostaglandin E synthase 3
ATP13A3,A_24_P183094,1.31E-02,2.32E-03,3.141944,-1.792052,1.022652,ATPase 13A3
ITGAV,A_23_P381992,1.31E-02,2.32E-03,3.141754,-1.792575,1.862254,integrin subunit alpha V
OAS3,A_23_P47955,1.31E-02,2.32E-03,3.141712,-1.792693,1.8147418,2'-5'-oligoadenylate synthetase 3
PHF20L1,A_23_P134786,1.31E-02,2.32E-03,3.14168,-1.792779,1.0855132,PHD finger protein 20-like 1
HACD3,A_23_P99920,1.31E-02,2.32E-03,3.141506,-1.793259,1.6446328,3-hydroxyacyl-CoA dehydratase 3
SNX27,A_24_P233960,1.31E-02,2.32E-03,3.141407,-1.793531,0.967929,sorting nexin family member 27
,A_24_P633349,1.31E-02,2.32E-03,3.141405,-1.793538,0.7899312,
KIAA0040,A_24_P79617,1.31E-02,2.32E-03,3.141397,-1.793559,1.6668029,KIAA0040
,A_32_P76804,1.31E-02,2.32E-03,3.141373,-1.793626,1.0432452,
ELAVL1,A_23_P388681,1.31E-02,2.32E-03,3.141234,-1.794008,1.4296048,ELAV like RNA binding protein 1
FAM136A,A_23_P108641,1.31E-02,2.32E-03,3.141161,-1.794209,0.9471119,family with sequence similarity 136 member A
SERPINE1,A_24_P158089,1.31E-02,2.32E-03,3.14097,-1.794736,1.7647721,serpin family E member 1
SPIDR,A_23_P327013,1.31E-02,2.32E-03,3.14084,-1.795093,1.1450128,scaffolding protein involved in DNA repair
CTNNAL1,A_23_P157795,1.31E-02,2.32E-03,3.14077,-1.795286,1.5968443,catenin alpha like 1
EIF4E,A_23_P118643,1.31E-02,2.33E-03,3.140167,-1.796947,1.2962723,eukaryotic translation initiation factor 4E
,A_23_P137825,1.31E-02,2.33E-03,3.140164,-1.796957,1.4425493,
CTPS1,A_23_P21706,1.31E-02,2.33E-03,3.140161,-1.796965,1.3499418,CTP synthase 1
TCF15,A_23_P254816,1.31E-02,2.33E-03,3.139909,-1.797657,1.3807474,transcription factor 15 (basic helix-loop-helix)
IFT81,A_23_P48130,1.31E-02,2.33E-03,3.139898,-1.79769,1.2141947,intraflagellar transport 81
HACD1,A_23_P161352,1.31E-02,2.33E-03,3.139821,-1.797902,2.1955306,3-hydroxyacyl-CoA dehydratase 1
STT3A,A_23_P104734,1.31E-02,2.33E-03,3.139445,-1.798935,1.3006968,"STT3A, catalytic subunit of the oligosaccharyltransferase complex"
NRP1,A_24_P928052,1.31E-02,2.33E-03,3.139412,-1.799028,1.7895767,neuropilin 1
TMEM245,A_24_P12904,1.32E-02,2.34E-03,3.139227,-1.799537,1.4689157,transmembrane protein 245
PPFIBP1,A_23_P47867,1.32E-02,2.34E-03,3.139223,-1.799548,1.0882394,PPFIA binding protein 1
HOMER3,A_23_P39364,1.32E-02,2.34E-03,3.139133,-1.799794,1.8673598,homer scaffolding protein 3
TIGAR,A_23_P128486,1.32E-02,2.34E-03,3.139051,-1.80002,1.542666,TP53 induced glycolysis regulatory phosphatase
,A_32_P42329,1.32E-02,2.34E-03,3.139008,-1.800139,1.7723726,
GPR20,A_24_P589028,1.32E-02,2.34E-03,3.138932,-1.800348,1.7879585,G protein-coupled receptor 20
GMFB,A_24_P172768,1.32E-02,2.34E-03,3.138911,-1.800405,1.3554183,glia maturation factor beta
IARS,A_23_P258964,1.32E-02,2.34E-03,3.138849,-1.800577,1.2467927,isoleucyl-tRNA synthetase
TM2D3,A_24_P193498,1.32E-02,2.34E-03,3.138848,-1.800581,1.3304527,TM2 domain containing 3
GAPVD1,A_23_P372660,1.32E-02,2.34E-03,3.138652,-1.801118,0.9851973,GTPase activating protein and VPS9 domains 1
NIFK-AS1,A_32_P188135,1.32E-02,2.34E-03,3.138541,-1.801424,1.0252847,NIFK antisense RNA 1
RNPS1,A_23_P152272,1.32E-02,2.34E-03,3.13815,-1.802502,1.1053533,RNA binding protein with serine rich domain 1
,A_23_P16394,1.32E-02,2.34E-03,-3.138132,-1.802551,-0.8914783,
CUEDC2,A_23_P127088,1.32E-02,2.34E-03,3.137962,-1.803019,1.4340257,CUE domain containing 2
NUMBL,A_23_P164733,1.32E-02,2.35E-03,-3.137813,-1.803428,-1.0291583,"NUMB like, endocytic adaptor protein"
RARA,A_32_P5251,1.32E-02,2.35E-03,3.137741,-1.803627,0.9450114,retinoic acid receptor alpha
CHORDC1,A_23_P138805,1.32E-02,2.35E-03,3.137253,-1.80497,1.4560562,cysteine and histidine rich domain containing 1
,A_24_P204144,1.32E-02,2.35E-03,3.13718,-1.805171,1.0632511,
SOD2,A_23_P134176,1.32E-02,2.35E-03,3.136938,-1.805836,1.4958304,"superoxide dismutase 2, mitochondrial"
IL17B,A_23_P167479,1.32E-02,2.35E-03,3.136924,-1.805876,1.5629402,interleukin 17B
AP1S3,A_24_P105747,1.32E-02,2.35E-03,3.13667,-1.806574,1.781391,adaptor related protein complex 1 sigma 3 subunit
PLAA,A_23_P135157,1.32E-02,2.35E-03,3.136643,-1.806648,1.0892811,phospholipase A2 activating protein
H3F3A,A_24_P105298,1.32E-02,2.35E-03,3.136539,-1.806934,0.7762302,"H3 histone, family 3A"
SDAD1P1,A_32_P18838,1.32E-02,2.36E-03,3.136336,-1.807494,1.4775732,SDA1 domain containing 1 pseudogene 1
,A_24_P914922,1.32E-02,2.36E-03,3.136065,-1.808238,1.2183352,
CYHR1,A_23_P318604,1.32E-02,2.36E-03,3.136019,-1.808365,1.2981848,cysteine and histidine rich 1
,A_32_P207420,1.32E-02,2.36E-03,3.135763,-1.80907,1.066064,
,A_32_P136622,1.33E-02,2.36E-03,-3.135563,-1.809621,-1.169441,
DNPH1,A_24_P414733,1.33E-02,2.36E-03,3.135382,-1.810118,1.1831112,2'-deoxynucleoside 5'-phosphate N-hydrolase 1
C11orf70,A_24_P364057,1.33E-02,2.36E-03,3.135336,-1.810243,2.0732808,chromosome 11 open reading frame 70
DOCK11,A_24_P76158,1.33E-02,2.36E-03,3.135225,-1.810551,1.6699254,dedicator of cytokinesis 11
,A_23_P135742,1.33E-02,2.37E-03,3.134895,-1.811459,1.1825033,
FBXO4,A_24_P171873,1.33E-02,2.37E-03,3.134563,-1.812369,1.6900422,F-box protein 4
OXSR1,A_23_P418413,1.33E-02,2.37E-03,3.134239,-1.813263,1.1291922,oxidative stress responsive 1
DVL3,A_24_P283000,1.33E-02,2.37E-03,3.134236,-1.813269,1.2706722,dishevelled segment polarity protein 3
LPGAT1,A_23_P46606,1.33E-02,2.37E-03,3.134137,-1.813543,1.2326389,lysophosphatidylglycerol acyltransferase 1
MRPL58,A_23_P141194,1.33E-02,2.37E-03,3.134116,-1.813601,1.10408,mitochondrial ribosomal protein L58
PIGT,A_23_P79842,1.33E-02,2.38E-03,3.133677,-1.814806,1.3134695,phosphatidylinositol glycan anchor biosynthesis class T
FNDC3B,A_24_P223124,1.33E-02,2.38E-03,3.133398,-1.815574,1.221801,fibronectin type III domain containing 3B
,A_24_P307184,1.33E-02,2.38E-03,3.133221,-1.816061,1.5620566,
ATG5,A_23_P111381,1.33E-02,2.38E-03,3.133128,-1.816317,1.1938552,autophagy related 5
RSF1,A_24_P246717,1.33E-02,2.38E-03,3.132952,-1.8168,1.2403068,remodeling and spacing factor 1
HAVCR2,A_24_P923370,1.33E-02,2.38E-03,3.132547,-1.817915,1.1674971,hepatitis A virus cellular receptor 2
,A_24_P470754,1.33E-02,2.38E-03,3.13252,-1.817989,1.5499974,
,A_32_P159726,1.33E-02,2.38E-03,3.132369,-1.818404,1.0356938,
SEMA6A,A_23_P7752,1.33E-02,2.39E-03,-3.132318,-1.818544,-2.5682136,semaphorin 6A
SAYSD1,A_24_P153926,1.33E-02,2.39E-03,3.132297,-1.8186,1.2644543,SAYSVFN motif domain containing 1
,A_23_P154297,1.33E-02,2.39E-03,3.132263,-1.818695,1.3499559,
GLS,A_23_P39766,1.34E-02,2.39E-03,3.132103,-1.819135,1.3250928,glutaminase
ZNF813,A_32_P3998,1.34E-02,2.39E-03,3.131534,-1.820697,1.2042245,zinc finger protein 813
PHACTR2,A_24_P726336,1.34E-02,2.39E-03,3.131317,-1.821294,1.1549964,phosphatase and actin regulator 2
CNN3,A_23_P138168,1.34E-02,2.39E-03,3.131276,-1.821407,1.5819262,calponin 3
,A_32_P1772,1.34E-02,2.39E-03,3.131235,-1.821519,1.0516951,
TCAF1,A_32_P56525,1.34E-02,2.39E-03,3.131023,-1.822102,1.2391115,TRPM8 channel associated factor 1
TMF1,A_23_P143867,1.34E-02,2.39E-03,3.130977,-1.822229,1.3502778,TATA element modulatory factor 1
ALS2,A_23_P209430,1.34E-02,2.40E-03,3.130954,-1.822292,1.1987188,"ALS2, alsin Rho guanine nucleotide exchange factor"
SPPL3,A_23_P162559,1.34E-02,2.40E-03,3.130874,-1.822511,0.9633711,signal peptide peptidase like 3
DCTN3,A_23_P158024,1.34E-02,2.40E-03,3.130856,-1.822561,1.6626311,dynactin subunit 3
NR2F2,A_23_P88589,1.34E-02,2.40E-03,3.130796,-1.822725,0.8647389,nuclear receptor subfamily 2 group F member 2
RBBP6,A_23_P363206,1.34E-02,2.40E-03,3.130653,-1.82312,0.9195078,"RB binding protein 6, ubiquitin ligase"
,A_32_P145856,1.34E-02,2.40E-03,3.130581,-1.823318,1.2914192,
PUF60,A_23_P9756,1.34E-02,2.40E-03,3.130547,-1.823411,1.2610092,poly(U) binding splicing factor 60
TK2,A_24_P219324,1.34E-02,2.40E-03,3.130424,-1.823748,1.5167466,"thymidine kinase 2, mitochondrial"
FAM110A,A_23_P386241,1.34E-02,2.40E-03,3.130394,-1.823832,1.2827055,family with sequence similarity 110 member A
TEK,A_23_P374695,1.34E-02,2.40E-03,3.130367,-1.823904,1.8580762,TEK receptor tyrosine kinase
MOGAT2,A_24_P278603,1.34E-02,2.40E-03,-3.13035,-1.823951,-2.5229645,monoacylglycerol O-acyltransferase 2
BANF1,A_23_P47208,1.34E-02,2.40E-03,3.130313,-1.824054,1.3415354,barrier to autointegration factor 1
NEDD8,A_24_P301240,1.34E-02,2.40E-03,3.130198,-1.82437,1.2352551,"neural precursor cell expressed, developmentally down-regulated 8"
AMFR,A_24_P135444,1.34E-02,2.40E-03,3.130197,-1.824372,1.1031352,autocrine motility factor receptor
FBXO3,A_23_P202844,1.34E-02,2.40E-03,3.130015,-1.824872,1.3748918,F-box protein 3
CRLF3,A_24_P56887,1.34E-02,2.40E-03,3.129862,-1.825293,0.9254918,cytokine receptor like factor 3
RP2,A_23_P22433,1.34E-02,2.41E-03,3.129376,-1.826627,1.0462669,retinitis pigmentosa 2 (X-linked recessive)
FADS1,A_24_P192994,1.34E-02,2.41E-03,3.129289,-1.826867,2.9651331,fatty acid desaturase 1
SSR2,A_23_P126474,1.34E-02,2.41E-03,3.12928,-1.82689,0.9700102,signal sequence receptor subunit 2
PAFAH1B2,A_23_P370142,1.34E-02,2.41E-03,3.129141,-1.827273,1.0620929,platelet activating factor acetylhydrolase 1b catalytic subunit 2
VPS13C,A_23_P206228,1.34E-02,2.41E-03,3.128917,-1.827887,0.9833006,vacuolar protein sorting 13 homolog C
,A_32_P231346,1.34E-02,2.41E-03,-3.128619,-1.828705,-1.4181569,
DECR1,A_24_P269619,1.34E-02,2.41E-03,3.128584,-1.828801,1.3520084,"2,4-dienoyl-CoA reductase 1, mitochondrial"
XRCC2,A_23_P134584,1.35E-02,2.41E-03,3.128281,-1.829635,1.4213018,X-ray repair cross complementing 2
RNF114,A_24_P82957,1.35E-02,2.42E-03,3.128209,-1.829833,1.3605926,ring finger protein 114
KIF2C,A_23_P34788,1.35E-02,2.42E-03,3.128156,-1.829977,1.5698315,kinesin family member 2C
PLA1A,A_24_P294408,1.35E-02,2.42E-03,3.128107,-1.830112,2.4202773,phospholipase A1 member A
RHOT1,A_24_P59765,1.35E-02,2.42E-03,3.127843,-1.830836,1.6293007,ras homolog family member T1
,A_24_P291074,1.35E-02,2.42E-03,3.127782,-1.831004,1.2723724,
,A_32_P200901,1.35E-02,2.42E-03,3.127602,-1.831497,1.8373529,
PRDM11,A_32_P874394,1.35E-02,2.42E-03,3.126897,-1.833434,1.2411593,PR/SET domain 11
LAPTM4A,A_23_P90659,1.35E-02,2.43E-03,3.126804,-1.833689,1.0111246,lysosomal protein transmembrane 4 alpha
ORC6,A_23_P100344,1.35E-02,2.43E-03,3.126743,-1.833855,1.8666702,origin recognition complex subunit 6
RHOJ,A_24_P153803,1.35E-02,2.43E-03,3.126716,-1.833932,1.3495209,ras homolog family member J
CX3CL1,A_24_P390495,1.35E-02,2.43E-03,3.12665,-1.834111,1.935119,C-X3-C motif chemokine ligand 1
APOC4,A_23_P27450,1.35E-02,2.43E-03,3.1266,-1.834249,1.1103441,apolipoprotein C4
IL6R,A_24_P379413,1.35E-02,2.43E-03,-3.126534,-1.83443,-1.9025946,interleukin 6 receptor
FDCSP,A_23_P362694,1.35E-02,2.43E-03,-3.12652,-1.83447,-2.2959998,follicular dendritic cell secreted protein
,A_24_P827096,1.35E-02,2.43E-03,3.126456,-1.834644,3.1857823,
FXR1,A_24_P935252,1.35E-02,2.43E-03,3.126345,-1.834949,1.2657961,FMR1 autosomal homolog 1
ALOX15,A_24_P931250,1.35E-02,2.43E-03,3.126281,-1.835123,0.8720658,arachidonate 15-lipoxygenase
,A_32_P233799,1.35E-02,2.43E-03,-3.126263,-1.835175,-1.2864817,
TMEM126A,A_23_P13524,1.35E-02,2.43E-03,3.126161,-1.835453,1.1879493,transmembrane protein 126A
LOC145783,A_32_P10894,1.35E-02,2.43E-03,3.125929,-1.83609,1.2126078,uncharacterized LOC145783
ATG4C,A_23_P502488,1.35E-02,2.43E-03,3.12556,-1.837104,1.394094,autophagy related 4C cysteine peptidase
,A_24_P272886,1.35E-02,2.43E-03,3.125555,-1.837118,1.4053241,
RPL13A,A_32_P92295,1.35E-02,2.44E-03,3.125466,-1.837361,1.0600359,ribosomal protein L13a
PSMC1,A_32_P57870,1.35E-02,2.44E-03,3.125464,-1.837367,1.1008975,"proteasome 26S subunit, ATPase 1"
,A_24_P221057,1.35E-02,2.44E-03,3.125368,-1.837629,1.1789732,
